index,antecedents,consequents,support,confidence,lift
3734,"frozenset({'Features_Recorded lectures made daily schedule flexible', 'Features_College or University', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Power cuts'})",frozenset({'Features_Internet unavailability'}),0.10256410256410256,1.0,1.625
224,"frozenset({'Features_High School (till 12 th grade)', 'Features_4'})",frozenset({'Features_Recorded lectures made daily schedule flexible'}),0.10256410256410256,1.0,1.3928571428571428
3595,"frozenset({'Features_More study resources helped prepare for exams better', 'Features_Recorded lectures made daily schedule flexible', 'Features_College or University', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.10256410256410256,1.0,1.3928571428571428
3645,"frozenset({'Features_Recorded lectures made daily schedule flexible', 'Features_College or University', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Power cuts'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.10256410256410256,1.0,1.3928571428571428
1967,"frozenset({'Features_Hybrid classes should be conducted occasionally to supplement regular modes of learning', 'Features_College or University', 'Features_Regularly or most often'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.10256410256410256,1.0,1.3928571428571428
626,"frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)', 'Features_High School (till 12 th grade)'})",frozenset({'Features_Recorded lectures made daily schedule flexible'}),0.10256410256410256,1.0,1.3928571428571428
1788,"frozenset({'Features_College or University', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Power cuts'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.15384615384615385,1.0,1.3928571428571428
659,"frozenset({'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Power cuts'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.1794871794871795,1.0,1.3928571428571428
3970,"frozenset({'Features_College or University', 'Features_Internet unavailability', 'Features_Laptop/ Tablet', 'Features_Power cuts'})",frozenset({'Features_Recorded lectures made daily schedule flexible'}),0.10256410256410256,1.0,1.3928571428571428
1693,"frozenset({'Features_Recorded lectures made daily schedule flexible', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Attended but not very regular'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.15384615384615385,1.0,1.3928571428571428
674,"frozenset({'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Syllabus was reduced'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.11538461538461539,1.0,1.3928571428571428
1616,"frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)', 'Features_Internet unavailability', 'Features_Attended but not very regular'})",frozenset({'Features_College or University'}),0.14102564102564102,1.0,1.2380952380952381
4057,"frozenset({'Features_More study resources helped prepare for exams better', 'Features_Recorded lectures made daily schedule flexible', 'Features_Internet unavailability', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.10256410256410256,1.0,1.3928571428571428
1582,"frozenset({'Features_College or University', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Attended but not very regular'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.16666666666666666,1.0,1.3928571428571428
4086,"frozenset({'Features_Recorded lectures made daily schedule flexible', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)', 'Features_Power cuts'})",frozenset({'Features_Internet unavailability'}),0.1282051282051282,1.0,1.625
4087,"frozenset({'Features_Recorded lectures made daily schedule flexible', 'Features_Internet unavailability', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Power cuts'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.1282051282051282,1.0,1.3928571428571428
4091,"frozenset({'Features_Recorded lectures made daily schedule flexible', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Power cuts'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)', 'Features_Internet unavailability'})",0.1282051282051282,1.0,2.5161290322580645
1441,"frozenset({'Features_Regularly or most often', 'Features_Laptop/ Tablet', 'Features_4'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.16666666666666666,1.0,1.3928571428571428
1383,"frozenset({'Features_Hybrid classes should be conducted occasionally to supplement regular modes of learning', 'Features_Recorded lectures made daily schedule flexible', 'Features_4'})",frozenset({'Features_Laptop/ Tablet'}),0.11538461538461539,1.0,1.5918367346938775
4147,"frozenset({'Features_More study resources helped prepare for exams better', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Laptop/ Tablet', 'Features_Regularly or most often'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.11538461538461539,1.0,1.3928571428571428
755,"frozenset({'Features_Hybrid classes should be conducted occasionally to supplement regular modes of learning', 'Features_Regularly or most often'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.11538461538461539,1.0,1.3928571428571428
3520,"frozenset({'Features_More study resources helped prepare for exams better', 'Features_College or University', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Laptop/ Tablet'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.1282051282051282,1.0,1.3928571428571428
3454,"frozenset({'Features_College or University', 'Features_Internet unavailability', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Power cuts'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.11538461538461539,1.0,1.3928571428571428
1257,"frozenset({'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Laptop/ Tablet', 'Features_4'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.15384615384615385,1.0,1.3928571428571428
3376,"frozenset({'Features_Recorded lectures made daily schedule flexible', 'Features_Internet unavailability', 'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)', 'Features_Attended but not very regular'})",frozenset({'Features_College or University'}),0.10256410256410256,1.0,1.2380952380952381
2846,"frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)', 'Features_College or University', 'Features_Laptop/ Tablet', 'Features_Attended but not very regular'})",frozenset({'Features_4'}),0.10256410256410256,1.0,1.9500000000000002
2830,"frozenset({'Features_Regularly or most often', 'Features_Internet unavailability', 'Features_Power cuts'})",frozenset({'Features_Recorded lectures made daily schedule flexible'}),0.1282051282051282,1.0,1.3928571428571428
3038,"frozenset({'Features_More study resources helped prepare for exams better', 'Features_College or University', 'Features_Regularly or most often', 'Features_4'})",frozenset({'Features_Hybrid classes should be a regular provision to incorporate digital literacy'}),0.10256410256410256,1.0,1.8571428571428572
2815,"frozenset({'Features_Mobile phone', 'Features_Recorded lectures made daily schedule flexible', 'Features_Regularly or most often'})",frozenset({'Features_Internet unavailability'}),0.10256410256410256,1.0,1.625
2792,"frozenset({'Features_Internet unavailability', 'Features_Laptop/ Tablet', 'Features_Power cuts'})",frozenset({'Features_Recorded lectures made daily schedule flexible'}),0.14102564102564102,1.0,1.3928571428571428
3174,"frozenset({'Features_Regularly or most often', 'Features_College or University', 'Features_Laptop/ Tablet', 'Features_4'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.1282051282051282,1.0,1.3928571428571428
2617,"frozenset({'Features_Mobile phone', 'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)', 'Features_Power cuts'})",frozenset({'Features_Internet unavailability'}),0.10256410256410256,1.0,1.625
859,"frozenset({'Features_Mobile phone', 'Features_Power cuts'})",frozenset({'Features_Internet unavailability'}),0.11538461538461539,1.0,1.625
2571,"frozenset({'Features_Hybrid classes should be conducted occasionally to supplement regular modes of learning', 'Features_Recorded lectures made daily schedule flexible', 'Features_Regularly or most often'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.10256410256410256,1.0,1.3928571428571428
3227,"frozenset({'Features_More study resources helped prepare for exams better', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Laptop/ Tablet', 'Features_4'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.10256410256410256,1.0,1.3928571428571428
2519,"frozenset({'Features_Recorded lectures made daily schedule flexible', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Power cuts'})",frozenset({'Features_Internet unavailability'}),0.1282051282051282,1.0,1.625
2444,"frozenset({'Features_Regularly or most often', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Power cuts'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.11538461538461539,1.0,1.3928571428571428
2434,"frozenset({'Features_Recorded lectures made daily schedule flexible', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Power cuts'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.1282051282051282,1.0,1.3928571428571428
2410,"frozenset({'Features_More study resources helped prepare for exams better', 'Features_Recorded lectures made daily schedule flexible', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.11538461538461539,1.0,1.3928571428571428
3287,"frozenset({'Features_More study resources helped prepare for exams better', 'Features_Regularly or most often', 'Features_Laptop/ Tablet', 'Features_4'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.10256410256410256,1.0,1.3928571428571428
3317,"frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)', 'Features_Internet unavailability', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Attended but not very regular'})",frozenset({'Features_College or University'}),0.11538461538461539,1.0,1.2380952380952381
3320,"frozenset({'Features_College or University', 'Features_Internet unavailability', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Attended but not very regular'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.11538461538461539,1.0,1.3928571428571428
3349,"frozenset({'Features_Recorded lectures made daily schedule flexible', 'Features_College or University', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Attended but not very regular'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.14102564102564102,1.0,1.3928571428571428
2321,"frozenset({'Features_Internet unavailability', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Power cuts'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.14102564102564102,1.0,1.3928571428571428
1279,"frozenset({'Features_4', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Power cuts'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.10256410256410256,1.0,1.3928571428571428
2945,"frozenset({'Features_College or University', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Laptop/ Tablet', 'Features_4'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.14102564102564102,1.0,1.3928571428571428
4242,"frozenset({'Features_Recorded lectures made daily schedule flexible', 'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Power cuts', 'Features_College or University'})",frozenset({'Features_Internet unavailability'}),0.10256410256410256,1.0,1.625
4305,"frozenset({'Features_More study resources helped prepare for exams better', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Regularly or most often', 'Features_College or University', 'Features_Laptop/ Tablet'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.10256410256410256,1.0,1.3928571428571428
4253,"frozenset({'Features_Recorded lectures made daily schedule flexible', 'Features_College or University', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Power cuts'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)', 'Features_Internet unavailability'})",0.10256410256410256,1.0,2.5161290322580645
4245,"frozenset({'Features_Recorded lectures made daily schedule flexible', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Power cuts', 'Features_College or University', 'Features_Internet unavailability'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.10256410256410256,1.0,1.3928571428571428
1022,"frozenset({'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_4', 'Features_Attended but not very regular'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.10256410256410256,1.0,1.3928571428571428
1032,"frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)', 'Features_Laptop/ Tablet', 'Features_Attended but not very regular'})",frozenset({'Features_4'}),0.11538461538461539,1.0,1.9500000000000002
885,"frozenset({'Features_Offline learning ( Without any of video conferencing , recorded lectures, and online exams )', 'Features_Regularly or most often'})",frozenset({'Features_Internet unavailability'}),0.10256410256410256,1.0,1.625
1752,"frozenset({'Features_College or University', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Laptop/ Tablet'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.24358974358974358,0.9500000000000001,1.323214285714286
499,"frozenset({'Features_Hybrid classes should be conducted occasionally to supplement regular modes of learning', 'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",frozenset({'Features_College or University'}),0.19230769230769232,0.9375000000000001,1.1607142857142858
1776,"frozenset({'Features_More study resources helped prepare for exams better', 'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy'})",frozenset({'Features_College or University'}),0.19230769230769232,0.9375000000000001,1.1607142857142858
2385,"frozenset({'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Laptop/ Tablet', 'Features_Regularly or most often'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.1794871794871795,0.9333333333333332,1.2999999999999998
409,"frozenset({'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Attended but not very regular'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.1794871794871795,0.9333333333333332,1.2999999999999998
2374,"frozenset({'Features_Recorded lectures made daily schedule flexible', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Laptop/ Tablet'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.16666666666666666,0.9285714285714285,1.2933673469387754
1916,"frozenset({'Features_More study resources helped prepare for exams better', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Regularly or most often'})",frozenset({'Features_College or University'}),0.16666666666666666,0.9285714285714285,1.1496598639455782
662,"frozenset({'Features_Recorded lectures made daily schedule flexible', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.3333333333333333,0.9285714285714285,1.2933673469387754
1402,"frozenset({'Features_More study resources helped prepare for exams better', 'Features_Laptop/ Tablet', 'Features_4'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.16666666666666666,0.9285714285714285,1.2933673469387754
3396,"frozenset({'Features_College or University', 'Features_Internet unavailability', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Laptop/ Tablet'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.16666666666666666,0.9285714285714285,1.2933673469387754
1584,"frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Attended but not very regular'})",frozenset({'Features_College or University'}),0.16666666666666666,0.9285714285714285,1.1496598639455782
3566,"frozenset({'Features_College or University', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Laptop/ Tablet', 'Features_Regularly or most often'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.15384615384615385,0.9230769230769231,1.2857142857142858
2716,"frozenset({'Features_More study resources helped prepare for exams better', 'Features_Laptop/ Tablet', 'Features_Regularly or most often'})","frozenset({'Features_Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)'})",0.15384615384615385,0.9230769230769231,1.2857142857142858
2532,"frozenset({'Features_Recorded lectures made daily schedule flexible', 'Features_Hybrid classes should be a regular provision to incorporate digital literacy', 'Features_Regularly or most often'})",frozenset({'Features_Internet unavailability'}),0.15384615384615385,0.9230769230769231,1.5
