Timestamp,Features
2022/10/16 9:19:36 pm GMT+5:30,College or University 
2022/10/16 9:19:36 pm GMT+5:30,"No ,we adjusted easily "
2022/10/16 9:19:36 pm GMT+5:30,Communication gap with peers 
2022/10/16 9:19:36 pm GMT+5:30,Not having proper environment 
2022/10/16 9:19:36 pm GMT+5:30,Internet problem during studies and exams. 
2022/10/16 9:19:36 pm GMT+5:30,3 
2022/10/16 9:19:36 pm GMT+5:30,Hybrid classes should be a regular provision to incorporate digital literacy 
2022/10/16 9:19:36 pm GMT+5:30,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
2022/10/20 10:37:03 pm GMT+5:30,High School (till 12 th grade) 
2022/10/20 10:37:03 pm GMT+5:30,"No ,we adjusted easily "
2022/10/20 10:37:03 pm GMT+5:30,Communication gap with peers 
2022/10/20 10:37:03 pm GMT+5:30,3 
2022/10/20 10:37:03 pm GMT+5:30,Hybrid classes should be a regular provision to incorporate digital literacy 
2022/10/20 10:37:03 pm GMT+5:30,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
2022/10/26 8:47:16 pm GMT+5:30,College or University 
2022/10/26 8:47:16 pm GMT+5:30,"No ,we adjusted easily "
2022/10/26 8:47:16 pm GMT+5:30,Not having proper environment 
2022/10/26 8:47:16 pm GMT+5:30,2 
2022/10/26 8:47:16 pm GMT+5:30,Hybrid classes should be a regular provision to incorporate digital literacy 
2022/10/26 8:47:16 pm GMT+5:30,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
2022/10/28 11:21:54 pm GMT+5:30,College or University 
2022/10/28 11:21:54 pm GMT+5:30,"No ,we adjusted easily "
2022/10/28 11:21:54 pm GMT+5:30,Lack of Attention 
2022/10/28 11:21:54 pm GMT+5:30,Communication gap with peers 
2022/10/28 11:21:54 pm GMT+5:30,3 
2022/10/28 11:21:54 pm GMT+5:30,Hybrid classes should be a regular provision to incorporate digital literacy 
2022/10/28 11:21:54 pm GMT+5:30,"Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
2022/10/28 11:22:15 pm GMT+5:30,College or University 
2022/10/28 11:22:15 pm GMT+5:30,"No ,we adjusted easily "
2022/10/28 11:22:15 pm GMT+5:30,Communication gap with peers 
2022/10/28 11:22:15 pm GMT+5:30,Not having proper environment 
2022/10/28 11:22:15 pm GMT+5:30,Network issues  
2022/10/28 11:22:15 pm GMT+5:30,3 
2022/10/28 11:22:15 pm GMT+5:30,Hybrid classes should be conducted occasionally to supplement regular teaching 
2022/10/28 11:22:15 pm GMT+5:30,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
2022/10/29 5:52:12 am GMT+5:30,Primary or Middle School (till 5th grade) 
2022/10/29 5:52:12 am GMT+5:30,"No ,we adjusted easily "
2022/10/29 5:52:12 am GMT+5:30,Lack of Attention 
2022/10/29 5:52:12 am GMT+5:30,Communication gap with peers 
2022/10/29 5:52:12 am GMT+5:30,Not having proper environment 
2022/10/29 5:52:12 am GMT+5:30,5 
2022/10/29 5:52:12 am GMT+5:30,Hybrid classes should be conducted occasionally to supplement regular teaching 
2022/10/29 5:52:12 am GMT+5:30,"Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
2022/10/29 6:07:53 am GMT+5:30,High School (till 12 th grade) 
2022/10/29 6:07:53 am GMT+5:30,"No ,we adjusted easily "
2022/10/29 6:07:53 am GMT+5:30,Communication gap with peers 
2022/10/29 6:07:53 am GMT+5:30,Not having proper environment 
2022/10/29 6:07:53 am GMT+5:30,4 
2022/10/29 6:07:53 am GMT+5:30,Hybrid classes should be conducted occasionally to supplement regular teaching 
2022/10/29 6:07:53 am GMT+5:30,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
2022/10/29 7:37:11 am GMT+5:30,College or University 
2022/10/29 7:37:11 am GMT+5:30,"No ,we adjusted easily "
2022/10/29 7:37:11 am GMT+5:30,Not having proper environment 
2022/10/29 7:37:11 am GMT+5:30,3 
2022/10/29 7:37:11 am GMT+5:30,Hybrid classes should be conducted occasionally to supplement regular teaching 
2022/10/29 7:37:11 am GMT+5:30,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
2022/10/29 8:05:21 am GMT+5:30,High School (till 12 th grade) 
2022/10/29 8:05:21 am GMT+5:30,"No ,we adjusted easily "
2022/10/29 8:05:21 am GMT+5:30,Communication gap with peers 
2022/10/29 8:05:21 am GMT+5:30,2 
2022/10/29 8:05:21 am GMT+5:30,Hybrid classes should be a regular provision to incorporate digital literacy 
2022/10/29 8:05:21 am GMT+5:30,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
2022/10/29 9:05:05 am GMT+5:30,High School (till 12 th grade) 
2022/10/29 9:05:05 am GMT+5:30,"No ,we adjusted easily "
2022/10/29 9:05:05 am GMT+5:30,Lack of Attention 
2022/10/29 9:05:05 am GMT+5:30,Not having proper environment 
2022/10/29 9:05:05 am GMT+5:30,Teachers were not available to discuss doubts 
2022/10/29 9:05:05 am GMT+5:30,4 
2022/10/29 9:05:05 am GMT+5:30,Hybrid classes should be conducted occasionally to supplement regular teaching 
2022/10/29 9:05:05 am GMT+5:30,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
2022/10/29 10:52:51 am GMT+5:30,College or University 
2022/10/29 10:52:51 am GMT+5:30,"No ,we adjusted easily "
2022/10/29 10:52:51 am GMT+5:30,Lack of Attention 
2022/10/29 10:52:51 am GMT+5:30,Not having proper environment 
2022/10/29 10:52:51 am GMT+5:30,Teachers were not available to discuss doubts 
2022/10/29 10:52:51 am GMT+5:30,4 
2022/10/29 10:52:51 am GMT+5:30,Hybrid classes should be a regular provision to incorporate digital literacy 
2022/10/29 10:52:51 am GMT+5:30,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
2022/10/29 11:19:55 am GMT+5:30,College or University 
2022/10/29 11:19:55 am GMT+5:30,"No ,we adjusted easily "
2022/10/29 11:19:55 am GMT+5:30,Not having proper environment 
2022/10/29 11:19:55 am GMT+5:30,4 
2022/10/29 11:19:55 am GMT+5:30,Hybrid classes should be conducted occasionally to supplement regular teaching 
2022/10/29 11:19:55 am GMT+5:30,"Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
2022/10/29 11:25:43 am GMT+5:30,College or University 
2022/10/29 11:25:43 am GMT+5:30,"No ,we adjusted easily "
2022/10/29 11:25:43 am GMT+5:30,Not having proper environment 
2022/10/29 11:25:43 am GMT+5:30,Teachers were not available to discuss doubts 
2022/10/29 11:25:43 am GMT+5:30,4 
2022/10/29 11:25:43 am GMT+5:30,Hybrid classes should be a regular provision to incorporate digital literacy 
2022/10/29 11:25:43 am GMT+5:30,"Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
2022/10/29 12:48:23 pm GMT+5:30,College or University 
2022/10/29 12:48:23 pm GMT+5:30,"No ,we adjusted easily "
2022/10/29 12:48:23 pm GMT+5:30,Not having proper environment 
2022/10/29 12:48:23 pm GMT+5:30,3 
2022/10/29 12:48:23 pm GMT+5:30,Hybrid classes should be conducted occasionally to supplement regular teaching 
2022/10/29 12:48:23 pm GMT+5:30,"Online classes ( Through video conferencing  or recorded lectures, and online exams )"
2022/10/29 2:21:24 pm GMT+5:30,Primary or Middle School (till 5th grade) 
2022/10/29 2:21:24 pm GMT+5:30,"No ,we adjusted easily "
2022/10/29 2:21:24 pm GMT+5:30,Lack of Attention 
2022/10/29 2:21:24 pm GMT+5:30,Not having proper environment 
2022/10/29 2:21:24 pm GMT+5:30,4 
2022/10/29 2:21:24 pm GMT+5:30,Hybrid classes should be conducted occasionally to supplement regular teaching 
2022/10/29 2:21:24 pm GMT+5:30,"Online classes ( Through video conferencing  or recorded lectures, and online exams )"
2022/10/29 2:28:46 pm GMT+5:30,College or University 
2022/10/29 2:28:46 pm GMT+5:30,"Yes ,it had a considerable impact "
2022/10/29 2:28:46 pm GMT+5:30,Communication gap with peers 
2022/10/29 2:28:46 pm GMT+5:30,3 
2022/10/29 2:28:46 pm GMT+5:30,Hybrid classes should be conducted only during emergencies 
2022/10/29 2:28:46 pm GMT+5:30,"Online classes ( Through video conferencing  or recorded lectures, and online exams )"
2022/10/29 2:30:41 pm GMT+5:30,High School (till 12 th grade) 
2022/10/29 2:30:41 pm GMT+5:30,"No ,we adjusted easily "
2022/10/29 2:30:41 pm GMT+5:30,Lack of Attention 
2022/10/29 2:30:41 pm GMT+5:30,Communication gap with peers 
2022/10/29 2:30:41 pm GMT+5:30,Not having proper environment 
2022/10/29 2:30:41 pm GMT+5:30,4 
2022/10/29 2:30:41 pm GMT+5:30,Hybrid classes should be conducted only during emergencies 
2022/10/29 2:30:41 pm GMT+5:30,"Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
2022/10/29 2:31:10 pm GMT+5:30,College or University 
2022/10/29 2:31:10 pm GMT+5:30,"No ,we adjusted easily "
2022/10/29 2:31:10 pm GMT+5:30,Teachers were not available to discuss doubts 
2022/10/29 2:31:10 pm GMT+5:30,1 
2022/10/29 2:31:10 pm GMT+5:30,Hybrid classes should be conducted occasionally to supplement regular teaching 
2022/10/29 2:31:10 pm GMT+5:30,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
