Timestamp,Features
2022/10/16 9:48:42 pm GMT+5:30,College or University
2022/10/16 9:48:42 pm GMT+5:30, Mobile phone
2022/10/16 9:48:42 pm GMT+5:30, Attended but not very regular
2022/10/16 9:48:42 pm GMT+5:30, More convenient to contact teachers from home to discuss doubts and get guidance
2022/10/16 9:48:42 pm GMT+5:30, Internet unavailability
2022/10/16 9:48:42 pm GMT+5:30, Power cuts
2022/10/16 9:48:42 pm GMT+5:30, Hybrid classes should be a regular provision to incorporate digital literacy
2022/10/16 9:48:42 pm GMT+5:30, 3
2022/10/16 9:48:42 pm GMT+5:30," Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
2022/10/21 4:48:50 pm GMT+5:30,High School (till 12 th grade)
2022/10/21 4:48:50 pm GMT+5:30, Desktop
2022/10/21 4:48:50 pm GMT+5:30, Rarely
2022/10/21 4:48:50 pm GMT+5:30, Recorded lectures made daily schedule flexible
2022/10/21 4:48:50 pm GMT+5:30, Lack of resources
2022/10/21 4:48:50 pm GMT+5:30, Unfamiliarity with technology
2022/10/21 4:48:50 pm GMT+5:30, Hybrid classes should be conducted only during emergencies
2022/10/21 4:48:50 pm GMT+5:30, 4
2022/10/21 4:48:50 pm GMT+5:30," Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
2022/10/21 4:49:24 pm GMT+5:30,Laptop/ Tablet
2022/10/21 4:49:24 pm GMT+5:30, Attended but not very regular
2022/10/21 4:49:24 pm GMT+5:30, Recorded lectures made daily schedule flexible
2022/10/21 4:49:24 pm GMT+5:30, Internet unavailability
2022/10/21 4:49:24 pm GMT+5:30, Power cuts
2022/10/21 4:49:24 pm GMT+5:30, Hybrid classes should be conducted occasionally to supplement regular modes of learning
2022/10/21 4:49:24 pm GMT+5:30, 2
2022/10/21 4:49:24 pm GMT+5:30," Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
2022/10/21 4:50:01 pm GMT+5:30,College or University
2022/10/21 4:50:01 pm GMT+5:30, Laptop/ Tablet
2022/10/21 4:50:01 pm GMT+5:30, Attended but not very regular
2022/10/21 4:50:01 pm GMT+5:30, Recorded lectures made daily schedule flexible
2022/10/21 4:50:01 pm GMT+5:30, Internet unavailability
2022/10/21 4:50:01 pm GMT+5:30, Lack of resources
2022/10/21 4:50:01 pm GMT+5:30, Unfamiliarity with technology
2022/10/21 4:50:01 pm GMT+5:30, Power cuts
2022/10/21 4:50:01 pm GMT+5:30, Hybrid classes should be conducted occasionally to supplement regular modes of learning
2022/10/21 4:50:01 pm GMT+5:30, 2
2022/10/21 4:50:01 pm GMT+5:30," Online classes ( Through video conferencing  or recorded lectures, and online exams )"
2022/10/26 8:16:42 pm GMT+5:30,College or University
2022/10/26 8:16:42 pm GMT+5:30, Laptop/ Tablet
2022/10/26 8:16:42 pm GMT+5:30, Attended but not very regular
2022/10/26 8:16:42 pm GMT+5:30, Recorded lectures made daily schedule flexible
2022/10/26 8:16:42 pm GMT+5:30, Internet unavailability
2022/10/26 8:16:42 pm GMT+5:30, Lack of resources
2022/10/26 8:16:42 pm GMT+5:30, Unfamiliarity with technology
2022/10/26 8:16:42 pm GMT+5:30, Power cuts
2022/10/26 8:16:42 pm GMT+5:30, Hybrid classes should be conducted occasionally to supplement regular modes of learning
2022/10/26 8:16:42 pm GMT+5:30, 4
2022/10/26 8:16:42 pm GMT+5:30," Online classes ( Through video conferencing  or recorded lectures, and online exams )"
2022/10/26 8:42:04 pm GMT+5:30,College or University
