Timestamp,Are you a?,In which category of institution did your child study during the pandemic period (between March 2020 and Feb 2022)?,Did the introduction of online classes and remote learning during the pandemic cause financial burden on your family?,What challenges has your child faced in online classes? (multiple choices can be selected),,,Do you have concerns about your childâ€™s academic competence due to shift towards online learning during the pandemic?,"What is your opinion on conducting hybrid classes after the Pandemic (Here by hybrid classes, we mean there is an option to either attend live lectures in person or view lecture recordings)",Which of these is most suitable for you?,What are the improvements your child's institution should have made while providing online education?(Optional question)
2022/10/16 9:19:36 pm GMT+5:30,Parent/Guardian,College or University,"No ,we adjusted easily",Communication gap with peers,Not having proper environment,Internet problem during studies and exams.,3,Hybrid classes should be a regular provision to incorporate digital literacy,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)",
2022/10/20 10:37:03 pm GMT+5:30,Parent/Guardian,High School (till 12 th grade),"No ,we adjusted easily",Communication gap with peers,,,3,Hybrid classes should be a regular provision to incorporate digital literacy,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)",More interactive
2022/10/26 8:47:16 pm GMT+5:30,Parent/Guardian,College or University,"No ,we adjusted easily",Not having proper environment,,,2,Hybrid classes should be a regular provision to incorporate digital literacy,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)",
2022/10/28 11:21:54 pm GMT+5:30,Parent/Guardian,College or University,"No ,we adjusted easily",Lack of Attention,Communication gap with peers,,3,Hybrid classes should be a regular provision to incorporate digital literacy,"Offline learning ( Without any of video conferencing , recorded lectures, and online exams )",
2022/10/28 11:22:15 pm GMT+5:30,Parent/Guardian,College or University,"No ,we adjusted easily",Communication gap with peers,Not having proper environment,Network issues ,3,Hybrid classes should be conducted occasionally to supplement regular teaching,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)",
2022/10/29 5:52:12 am GMT+5:30,Parent/Guardian,Primary or Middle School (till 5th grade),"No ,we adjusted easily",Lack of Attention,Communication gap with peers,Not having proper environment,5,Hybrid classes should be conducted occasionally to supplement regular teaching,"Offline learning ( Without any of video conferencing , recorded lectures, and online exams )",To ensure to gain child's attention and one to one interaction to cross check .
2022/10/29 6:07:53 am GMT+5:30,Parent/Guardian,High School (till 12 th grade),"No ,we adjusted easily",Communication gap with peers,Not having proper environment,,4,Hybrid classes should be conducted occasionally to supplement regular teaching,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)",The practical experience is missing in science subjects. The ambience of class is missing 
2022/10/29 7:37:11 am GMT+5:30,Parent/Guardian,College or University,"No ,we adjusted easily",Not having proper environment,,,3,Hybrid classes should be conducted occasionally to supplement regular teaching,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)",
2022/10/29 8:05:21 am GMT+5:30,Parent/Guardian,High School (till 12 th grade),"No ,we adjusted easily",Communication gap with peers,,,2,Hybrid classes should be a regular provision to incorporate digital literacy,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)",
2022/10/29 9:05:05 am GMT+5:30,Parent/Guardian,High School (till 12 th grade),"No ,we adjusted easily",Lack of Attention,Not having proper environment,Teachers were not available to discuss doubts,4,Hybrid classes should be conducted occasionally to supplement regular teaching,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)",Measures to increase attentiveness
2022/10/29 10:52:51 am GMT+5:30,Parent/Guardian,College or University,"No ,we adjusted easily",Lack of Attention,Not having proper environment,Teachers were not available to discuss doubts,4,Hybrid classes should be a regular provision to incorporate digital literacy,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)",Time spent on self learning.
2022/10/29 11:19:55 am GMT+5:30,Parent/Guardian,College or University,"No ,we adjusted easily",Not having proper environment,,,4,Hybrid classes should be conducted occasionally to supplement regular teaching,"Offline learning ( Without any of video conferencing , recorded lectures, and online exams )",
2022/10/29 11:25:43 am GMT+5:30,Parent/Guardian,College or University,"No ,we adjusted easily",Not having proper environment,Teachers were not available to discuss doubts,,4,Hybrid classes should be a regular provision to incorporate digital literacy,"Offline learning ( Without any of video conferencing , recorded lectures, and online exams )",Arrange online classes
2022/10/29 12:48:23 pm GMT+5:30,Parent/Guardian,College or University,"No ,we adjusted easily",Not having proper environment,,,3,Hybrid classes should be conducted occasionally to supplement regular teaching,"Online classes ( Through video conferencing  or recorded lectures, and online exams )",
