Timestamp,Are you a?,In which category of institution did you study during the pandemic period? (between March 2020 and Feb 2022),Which devices have you used most often while learning online?,How often did you attend your online classes ?,Which of these possible benefits from online learning during the pandemic apply to you?  (multiple choices can be selected),,,What challenges did you face with online education?  (multiple choices can be selected),,,,"What is your opinion on conducting hybrid classes after the Pandemic (Here by hybrid classes, we mean there is an option to either attend live lectures in person or view lecture recordings)",Was your understanding from online learning satisfactory?,Which form of education is most suitable according to you?
2022/10/16 9:48:42 pm GMT+5:30,Student,College or University,Mobile phone,Attended but not very regular,More convenient to contact teachers from home to discuss doubts and get guidance,,,Internet unavailability,Power cuts,#NAME?,,Hybrid classes should be a regular provision to incorporate digital literacy,3,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
2022/10/21 4:48:50 pm GMT+5:30,Student,High School (till 12 th grade),Desktop,Rarely,Recorded lectures made daily schedule flexible,,,Lack of resources,Unfamiliarity with technology,,,Hybrid classes should be conducted only during emergencies,4,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
2022/10/21 4:49:24 pm GMT+5:30,Student,,Laptop/ Tablet,Attended but not very regular,Recorded lectures made daily schedule flexible,,,Internet unavailability,Power cuts,,,Hybrid classes should be conducted occasionally to supplement regular modes of learning,2,"Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
2022/10/21 4:50:01 pm GMT+5:30,Student,College or University,Laptop/ Tablet,Attended but not very regular,Recorded lectures made daily schedule flexible,,,Internet unavailability,Lack of resources,Unfamiliarity with technology,Power cuts,Hybrid classes should be conducted occasionally to supplement regular modes of learning,2,"Online classes ( Through video conferencing  or recorded lectures, and online exams )"
2022/10/26 8:16:42 pm GMT+5:30,Student,College or University,Laptop/ Tablet,Attended but not very regular,Recorded lectures made daily schedule flexible,,,Internet unavailability,Lack of resources,Unfamiliarity with technology,Power cuts,Hybrid classes should be conducted occasionally to supplement regular modes of learning,4,"Online classes ( Through video conferencing  or recorded lectures, and online exams )"
2022/10/26 8:42:04 pm GMT+5:30,Student,College or University,Laptop/ Tablet,Regularly or most often,More study resources helped prepare for exams better,,,Lack of resources,Unfamiliarity with technology,Power cuts,,Hybrid classes should be a regular provision to incorporate digital literacy,4,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
2022/10/26 8:42:48 pm GMT+5:30,Student,College or University,Laptop/ Tablet,Regularly or most often,More study resources helped prepare for exams better,,,Power cuts,,,,Hybrid classes should be a regular provision to incorporate digital literacy,4,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
2022/10/26 8:45:03 pm GMT+5:30,Student,College or University,Laptop/ Tablet,Regularly or most often,More study resources helped prepare for exams better,,,Power cuts,,,,Hybrid classes should be a regular provision to incorporate digital literacy,4,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
2022/10/26 8:45:33 pm GMT+5:30,Student,College or University,Laptop/ Tablet,Regularly or most often,More study resources helped prepare for exams better,,,Unfamiliarity with technology,,,,Hybrid classes should be a regular provision to incorporate digital literacy,4,"Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
2022/10/26 9:59:07 pm GMT+5:30,Student,High School (till 12 th grade),Laptop/ Tablet,Attended but not very regular,More study resources helped prepare for exams better,,,Internet unavailability,,,,Hybrid classes should be a regular provision to incorporate digital literacy,5,"Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
